timestamp,source_ip,http_method,requested_url,query_params,is_malicious
2023-03-15T00:00:00Z,198.51.100.1,GET,/api/v1/product/view,product_id=12345,false
2023-03-15T00:01:00Z,198.51.100.2,GET,/api/v1/product/view,product_id=12345,false
2023-03-15T00:02:00Z,198.51.100.3,GET,/api/v1/product/view,product_id=12345,false
2023-03-15T00:03:00Z,198.51.100.4,GET,/api/v1/product/view,product_id=12345,false
2023-03-15T00:04:00Z,198.51.100.5,GET,/api/v1/product/view,product_id=12345,false
2023-03-15T00:05:00Z,198.51.100.6,GET,/api/v1/product/view,product_id=12345 OR 1=1 --,true
2023-03-15T00:06:00Z,198.51.100.7,GET,/api/v1/product/view,product_id=12345 UNION SELECT table_name FROM information_schema.tables --,true
2023-03-15T00:07:00Z,198.51.100.8,GET,/api/v1/product/view,product_id=12345 OR 1=1 --,true
2023-03-15T00:08:00Z,198.51.100.9,GET,/api/v1/product/view,product_id=12345 UNION SELECT table_name FROM information_schema.tables --,true
2023-03-15T00:09:00Z,198.51.100.10,GET,/api/v1/product/view,product_id=12345 OR 1=1 --,true
