timestamp,source_ip,http_method,requested_url,query_params,is_malicious
2023-03-16T12:00:00Z,192.168.0.1,GET,/api/v1/product/view,product_id=12345,false
2023-03-16T12:00:01Z,192.168.0.2,GET,/api/v1/product/view,product_id=12345,true
2023-03-16T12:00:02Z,192.168.0.3,GET,/api/v1/product/view,product_id=12345 OR 1=1 --,true
2023-03-16T12:00:03Z,192.168.0.4,GET,/api/v1/product/view,product_id=12345 UNION SELECT table_name FROM information_schema.tables --,true
2023-03-16T12:00:04Z,192.168.0.5,GET,/api/v1/product/view,product_id=12345,false
2023-03-16T12:00:05Z,192.168.0.6,GET,/api/v1/product/view,product_id=12345 OR 1=2 --,true
2023-03-16T12:00:06Z,192.168.0.7,GET,/api/v1/product/view,product_id=12345 UNION SELECT column_name FROM information_schema.columns --,true
2023-03-16T12:00:07Z,192.168.0.8,GET,/api/v1/product/view,product_id=12345,false
2023-03-16T12:00:08Z,192.168.0.9,GET,/api/v1/product/view,product_id=12345 OR 1=1 --,true
2023-03-16T12:00:09Z,192.168.0.10,GET,/api/v1/product/view,product_id=12345 UNION SELECT table_schema FROM information_schema.tables --,true
